ID,Age,City,Economic Status,Profession,Most Used Pokemon Type,Average Pokemon Level,Criminal Record,PokéBall Usage,Win Ratio,Number of Gym Badges,Is Pokemon Champion,Battle Strategy,Number of Migrations,Rare Item Holder,Debt to Kanto,Charity Participation,Team Rocket
0,27,Pewter City,1.0,Fisherman,Rock,50,0,DuskBall,51,1,0,Unpredictable,25,0,24511,1,No
1,55,Viridian City,1.0,PokéMart Seller,Grass,35,1,HealBall,53,2,0,Unpredictable,19,0,177516,1,Yes
2,14,Pallet Town,2.0,Police Officer,Poison,96,0,NetBall,76,5,0,Aggressive,18,0,85695,1,No
3,41,Cerulean City,1.0,Gym Leader Assistant,Dragon,23,0,UltraBall,27,0,0,Defensive,10,0,39739,1,No
4,15,Pallet Town,1.0,Gym Leader Assistant,Ground,16,1,HealBall,51,1,0,Aggressive,17,1,126923,0,Yes
5,41,Lavender Town,2.0,Daycare Worker,Ground,87,0,TimerBall,53,2,0,Aggressive,18,1,309636,0,Yes
6,21,Celadon City,0.0,PokéMart Seller,Ghost,58,0,MasterBall,52,0,0,Unpredictable,8,0,75034,1,No
7,25,Lavender Town,1.0,Gym Leader Assistant,Bug,84,0,LuxuryBall,35,0,0,Defensive,25,0,65407,1,No
8,40,Saffron City,1.0,Gym Leader Assistant,Fighting,73,0,DarkBall,44,0,0,Aggressive,6,0,33398,1,No
9,20,Cinnabar Island,1.0,PokéMart Seller,Electric,9,0,DarkBall,20,1,0,Defensive,2,0,67763,1,No
10,43,Fuchsia City,1.0,Casino Worker,Flying,98,0,PokéBall,55,2,0,Aggressive,5,0,26043,1,No
11,29,Vermilion City,1.0,Rocket Grunt,Ghost,8,0,HealBall,77,0,0,Aggressive,14,0,87632,1,No
12,11,Cerulean City,1.0,Breeder,Ice,95,0,TimerBall,34,4,0,Aggressive,3,0,19606,1,No
13,15,Viridian City,1.0,Fisherman,Psychic,70,0,DarkBall,23,6,0,Defensive,17,0,70065,1,No
14,40,Vermilion City,0.0,Nurse,Rock,23,0,UltraBall,80,0,0,Defensive,2,0,55775,1,No
15,35,Cinnabar Island,0.0,Researcher,Ghost,33,0,LuxuryBall,60,5,0,Unpredictable,25,0,72020,1,No
16,12,Fuchsia City,0.0,Daycare Worker,Fire,81,0,DuskBall,54,1,0,Defensive,1,0,76539,1,No
17,49,Cerulean City,2.0,Police Officer,Fairy,96,0,MasterBall,37,0,0,Defensive,1,0,79776,1,No
18,70,Fuchsia City,0.0,Elite Trainer,Water,84,0,DarkBall,52,1,0,Unpredictable,22,0,56099,1,No
19,48,Viridian City,1.0,Casino Worker,Water,80,0,UltraBall,52,1,0,Unpredictable,4,0,23026,1,No
20,54,Pewter City,0.0,Scientist,Grass,35,1,HealBall,59,2,0,Unpredictable,12,1,196218,0,Yes
21,69,Cerulean City,1.0,Gym Leader Assistant,Fire,63,0,GreatBall,34,0,0,Unpredictable,25,0,7098,1,No
22,32,Vermilion City,1.0,Scientist,Poison,5,0,LuxuryBall,27,0,0,Defensive,12,0,82636,1,No
23,19,Celadon City,1.0,Daycare Worker,Poison,78,0,NetBall,71,3,0,Defensive,11,0,55895,1,No
24,21,Pewter City,0.0,Black Market Dealer,Flying,58,0,GreatBall,66,4,0,Unpredictable,20,0,88542,1,No
25,17,Pewter City,0.0,Black Market Dealer,Psychic,40,0,TimerBall,25,4,0,Unpredictable,3,0,46311,1,No
26,14,Cerulean City,0.0,Rocket Grunt,Dark,7,0,NetBall,63,2,0,Defensive,2,0,98493,1,No
27,17,Celadon City,0.0,Rocket Grunt,Grass,51,0,DuskBall,52,0,0,Defensive,9,0,65968,1,No
28,10,Cinnabar Island,1.0,Gym Leader Assistant,Fighting,16,0,GreatBall,28,6,0,Aggressive,25,0,11268,1,No
29,50,Pallet Town,0.0,Daycare Worker,Psychic,27,0,UltraBall,36,2,0,Aggressive,17,0,31103,1,No
30,67,Vermilion City,0.0,Rocket Grunt,Poison,16,0,UltraBall,40,1,1,Unpredictable,24,1,216017,0,Yes
31,26,Pewter City,0.0,Daycare Worker,Flying,90,0,DarkBall,60,1,0,Aggressive,17,0,62709,1,No
32,38,Cinnabar Island,0.0,Breeder,Steel,14,0,DuskBall,85,8,0,Unpredictable,15,0,94461,1,No
33,34,Viridian City,0.0,Elite Trainer,Flying,38,0,NetBall,61,6,1,Defensive,22,1,340492,0,Yes
34,34,Fuchsia City,1.0,Champion,Water,83,0,DarkBall,23,4,0,Aggressive,13,0,88740,1,No
35,50,Saffron City,0.0,Nurse,Poison,93,0,MasterBall,28,1,0,Defensive,8,0,60418,1,No
36,43,Pallet Town,1.0,Elite Trainer,Ground,51,0,MasterBall,47,5,0,Unpredictable,7,0,71086,1,No
37,20,Celadon City,1.0,PokéMart Seller,Steel,24,0,DuskBall,36,0,0,Unpredictable,28,1,186932,0,Yes
38,15,Vermilion City,0.0,Champion,Fighting,72,0,HealBall,84,3,0,Unpredictable,6,0,96652,1,No
39,55,Saffron City,1.0,Biker,Electric,92,0,LuxuryBall,77,1,0,Unpredictable,12,0,94977,1,No
40,38,Pewter City,0.0,Police Officer,Ground,45,0,PokéBall,57,3,0,Defensive,13,0,53794,1,No
41,31,Cinnabar Island,0.0,Nurse,Normal,18,1,MasterBall,31,2,0,Unpredictable,27,1,348688,1,Yes
42,40,Celadon City,0.0,Breeder,Flying,33,0,DarkBall,74,4,0,Aggressive,17,0,86300,1,No
43,56,Pewter City,1.0,Underground Battler,Psychic,96,0,DarkBall,41,1,0,Aggressive,22,0,64133,1,No
44,29,Pewter City,2.0,Fisherman,Ice,99,1,LuxuryBall,46,5,0,Defensive,13,1,200145,0,Yes
45,56,Saffron City,1.0,Breeder,Fighting,90,0,DuskBall,49,0,0,Defensive,18,0,9905,1,No
46,42,Pallet Town,0.0,Fisherman,Fire,58,0,HealBall,25,5,0,Aggressive,21,0,45170,1,No
47,47,Lavender Town,1.0,Fisherman,Electric,96,0,HealBall,32,1,0,Aggressive,14,0,89183,1,No
48,32,Saffron City,0.0,Black Market Dealer,Ghost,30,0,PokéBall,47,3,0,Aggressive,14,0,19506,1,No
49,15,Cerulean City,0.0,Breeder,Normal,53,0,GreatBall,40,1,0,Defensive,15,0,14696,1,No
50,20,Pallet Town,1.0,PokéMart Seller,Rock,16,0,MasterBall,75,5,0,Unpredictable,10,0,175785,0,Yes
51,26,Cinnabar Island,0.0,Casino Worker,Poison,98,0,GreatBall,51,2,0,Unpredictable,25,0,86543,1,No
52,29,Celadon City,1.0,Biker,Grass,19,0,GreatBall,51,0,0,Aggressive,5,0,58101,1,No
53,44,Celadon City,0.0,Black Market Dealer,Flying,84,0,TimerBall,62,2,0,Aggressive,6,0,62011,1,No
54,51,Vermilion City,1.0,Rocket Grunt,Psychic,34,0,UltraBall,36,1,0,Defensive,18,0,92820,1,No
55,44,Pewter City,2.0,Nurse,Poison,78,0,DuskBall,74,0,0,Unpredictable,6,0,27429,1,No
56,55,Pallet Town,2.0,Fisherman,Poison,59,0,HealBall,66,5,0,Unpredictable,19,0,16905,1,No
57,57,Saffron City,1.0,Scientist,Normal,77,0,LuxuryBall,22,7,0,Defensive,17,0,97699,1,No
58,50,Saffron City,1.0,Nurse,Water,78,0,UltraBall,74,0,0,Unpredictable,11,0,2804,1,No
59,18,Cerulean City,0.0,Rocket Grunt,Electric,55,0,NetBall,38,4,0,Unpredictable,25,0,7195,1,No
60,69,Pewter City,0.0,Police Officer,Flying,26,0,UltraBall,75,4,0,Unpredictable,22,0,53350,1,No
61,40,Pallet Town,0.0,Scientist,Rock,57,0,DarkBall,37,0,0,Aggressive,11,0,44933,1,No
62,44,Cinnabar Island,0.0,Champion,Grass,66,0,HealBall,57,0,0,Aggressive,17,0,18209,1,No
63,44,Pallet Town,0.0,Gym Leader Assistant,Bug,100,0,UltraBall,77,0,0,Unpredictable,11,0,74247,1,No
64,49,Saffron City,1.0,Black Market Dealer,Electric,79,0,NetBall,48,0,0,Aggressive,25,0,96506,1,No
65,35,Cinnabar Island,0.0,Researcher,Fighting,28,0,UltraBall,46,2,0,Defensive,17,0,20097,1,No
66,46,Saffron City,1.0,Police Officer,Fairy,43,0,DuskBall,75,2,0,Aggressive,26,1,58067,1,Yes
67,10,Vermilion City,0.0,PokéMart Seller,Fire,98,0,LuxuryBall,71,2,0,Aggressive,10,0,63253,1,No
68,33,Lavender Town,1.0,Police Officer,Ground,9,0,MasterBall,63,1,0,Unpredictable,18,0,31400,1,No
69,30,Saffron City,2.0,Researcher,Ice,65,0,HealBall,27,7,0,Unpredictable,24,0,17297,1,No
70,44,Pewter City,1.0,Elite Trainer,Steel,34,0,NetBall,68,0,0,Unpredictable,11,0,65059,1,No
71,32,Fuchsia City,1.0,PokéMart Seller,Bug,47,0,DuskBall,44,1,0,Defensive,22,0,49345,1,No
72,31,Vermilion City,1.0,Gym Leader Assistant,Ground,23,0,TimerBall,43,5,0,Aggressive,9,0,17487,1,No
73,26,Pallet Town,0.0,Scientist,Fairy,27,0,UltraBall,34,0,0,Unpredictable,2,0,6532,1,No
74,58,Viridian City,0.0,Gym Leader Assistant,Grass,13,0,UltraBall,78,1,0,Defensive,17,0,29373,1,No
75,10,Celadon City,0.0,Daycare Worker,Ice,90,0,DuskBall,59,0,0,Unpredictable,12,0,98608,1,No
76,36,Viridian City,0.0,Scientist,Ice,22,0,PokéBall,74,3,0,Defensive,8,0,99046,1,No
77,13,Fuchsia City,1.0,Daycare Worker,Flying,74,0,PokéBall,59,0,0,Unpredictable,4,0,50289,1,No
78,53,Cinnabar Island,1.0,Elite Trainer,Ice,9,0,MasterBall,66,2,0,Unpredictable,0,0,73816,1,No
79,11,Viridian City,0.0,Nurse,Electric,8,0,DarkBall,61,2,0,Unpredictable,15,0,28192,1,No
80,40,Saffron City,0.0,Underground Battler,Dark,100,0,PokéBall,75,0,0,Defensive,25,0,18294,1,No
81,54,Pewter City,0.0,Gym Leader Assistant,Fairy,69,0,PokéBall,57,5,0,Defensive,3,0,59184,1,No
82,64,Celadon City,0.0,Rocket Grunt,Steel,71,0,DuskBall,73,0,0,Unpredictable,6,0,34124,1,No
83,52,Pewter City,1.0,Black Market Dealer,Grass,54,0,PokéBall,41,4,0,Defensive,6,0,59423,1,No
84,51,Saffron City,1.0,Black Market Dealer,Poison,38,1,LuxuryBall,76,3,0,Defensive,13,1,40523,1,Yes
85,16,Pewter City,0.0,Underground Battler,Water,89,0,MasterBall,68,3,0,Unpredictable,10,0,9319,1,No
86,53,Saffron City,0.0,Black Market Dealer,Normal,56,0,HealBall,84,4,0,Aggressive,19,0,51090,1,No
87,24,Cerulean City,1.0,Rocket Grunt,Dark,30,1,TimerBall,66,7,0,Unpredictable,11,1,300447,0,Yes
88,11,Lavender Town,0.0,Police Officer,Flying,20,0,DarkBall,78,1,0,Defensive,5,0,167351,0,Yes
89,43,Pewter City,1.0,Underground Battler,Grass,53,0,TimerBall,53,1,0,Defensive,22,0,31902,1,No
90,67,Lavender Town,1.0,Casino Worker,Electric,52,0,PokéBall,26,2,0,Unpredictable,18,0,93719,1,No
91,39,Fuchsia City,0.0,Researcher,Bug,90,0,MasterBall,55,0,0,Aggressive,17,0,26461,1,No
92,15,Saffron City,2.0,Elite Trainer,Steel,98,0,HealBall,76,3,0,Unpredictable,17,0,65774,1,No
