ID,Age,City,Economic Status,Profession,Most Used Pokemon Type,Average Pokemon Level,Criminal Record,PokéBall Usage,Win Ratio,Number of Gym Badges,Is Pokemon Champion,Battle Strategy,Number of Migrations,Rare Item Holder,Debt to Kanto,Charity Participation,Team Rocket
2522,21,Lavender Town,2.0,Daycare Worker,Fairy,22,0,MasterBall,55,2,0,Aggressive,25,0,98807,1,0
1073,15,Fuchsia City,1.0,Police Officer,Ground,29,0,UltraBall,35,6,0,Unpredictable,11,0,65024,1,0
3738,31,Lavender Town,1.0,Daycare Worker,Water,67,0,NetBall,59,3,0,Aggressive,8,0,90561,1,0
2836,16,Vermilion City,0.0,Breeder,Bug,70,0,TimerBall,40,2,0,Unpredictable,7,0,30374,1,0
1530,37,Fuchsia City,1.0,Police Officer,Water,16,0,DuskBall,31,5,0,Aggressive,17,0,95399,1,0
869,64,Saffron City,1.0,Police Officer,Flying,24,0,GreatBall,65,3,0,Defensive,3,0,11375,1,0
175,65,Saffron City,1.0,Researcher,Water,84,0,UltraBall,20,3,0,Defensive,3,0,69219,1,0
46,42,Pallet Town,0.0,Fisherman,Fire,58,0,HealBall,25,5,0,Aggressive,21,0,45170,1,0
537,55,Celadon City,1.0,Police Officer,Flying,29,1,UltraBall,76,3,0,Defensive,5,1,351781,0,1
82,64,Celadon City,0.0,Rocket Grunt,Steel,71,0,DuskBall,73,0,0,Unpredictable,6,0,34124,1,0
1668,69,Saffron City,0.0,PokéMart Seller,Psychic,27,0,UltraBall,21,1,0,Defensive,20,0,69617,1,0
509,31,Pallet Town,1.0,Casino Worker,Psychic,73,0,NetBall,24,8,0,Aggressive,14,0,37992,1,0
1726,28,Lavender Town,1.0,Champion,Fire,69,0,DuskBall,40,1,0,Aggressive,1,0,42174,1,0
2153,36,Saffron City,1.0,Underground Battler,Rock,34,0,DuskBall,52,1,0,Defensive,6,0,42498,1,0
3298,27,Lavender Town,2.0,PokéMart Seller,Dark,49,0,UltraBall,50,4,0,Defensive,24,0,58382,1,0
892,37,Saffron City,0.0,Casino Worker,Fire,53,0,MasterBall,41,2,0,Unpredictable,8,0,53408,1,0
674,10,Lavender Town,2.0,Fisherman,Ground,66,0,NetBall,85,4,0,Unpredictable,16,0,98909,1,0
1791,38,Cinnabar Island,1.0,Biker,Steel,27,0,LuxuryBall,21,2,0,Aggressive,20,0,39805,1,0
1133,53,Cerulean City,1.0,Casino Worker,Flying,58,0,TimerBall,54,3,0,Unpredictable,1,0,9647,1,0
3264,29,Cinnabar Island,1.0,Casino Worker,Normal,99,0,MasterBall,42,3,0,Defensive,16,0,73727,1,0
643,61,Saffron City,0.0,Gym Leader Assistant,Electric,17,0,DarkBall,84,0,0,Unpredictable,24,0,6341,1,0
2819,55,Celadon City,0.0,PokéMart Seller,Ghost,34,0,MasterBall,32,3,0,Defensive,18,0,29358,1,0
3698,30,Pallet Town,1.0,Fisherman,Psychic,48,0,PokéBall,56,1,0,Defensive,16,0,5232,1,0
2514,40,Viridian City,0.0,Daycare Worker,Bug,58,1,LuxuryBall,44,1,0,Aggressive,13,1,287141,0,1
1544,61,Pewter City,0.0,Scientist,Dark,7,0,PokéBall,30,0,0,Defensive,1,0,32262,1,0
781,65,Viridian City,0.0,PokéMart Seller,Electric,89,0,TimerBall,46,3,0,Unpredictable,8,0,74958,1,0
3804,49,Vermilion City,0.0,Scientist,Dark,80,1,LuxuryBall,84,1,0,Unpredictable,25,0,284432,1,1
3096,32,Cerulean City,2.0,Fisherman,Electric,11,0,HealBall,21,5,0,Unpredictable,25,0,57904,1,0
1980,69,Cerulean City,0.0,PokéMart Seller,Fire,87,0,LuxuryBall,31,3,0,Unpredictable,10,0,53447,1,0
2069,27,Celadon City,0.0,Nurse,Steel,55,0,MasterBall,60,1,0,Unpredictable,15,0,2468,1,0
2197,18,Cerulean City,1.0,Fisherman,Fighting,65,1,TimerBall,35,1,0,Aggressive,7,0,261289,0,1
2940,61,Pewter City,1.0,Scientist,Ground,47,0,TimerBall,72,1,0,Defensive,16,0,7261,1,0
248,26,Lavender Town,1.0,Elite Trainer,Electric,87,0,NetBall,56,5,0,Aggressive,16,0,5704,1,0
1642,49,Celadon City,1.0,Gym Leader Assistant,Ice,30,0,DarkBall,71,4,0,Defensive,27,0,250344,0,1
361,57,Lavender Town,1.0,Rocket Grunt,Poison,22,0,MasterBall,47,4,0,Aggressive,0,0,80163,1,0
3562,57,Cinnabar Island,2.0,Gym Leader Assistant,Dark,9,0,DuskBall,21,2,0,Aggressive,7,0,84028,1,0
