ID,Age,City,Economic Status,Profession,Most Used Pokemon Type,Average Pokemon Level,Criminal Record,PokéBall Usage,Win Ratio,Number of Gym Badges,Is Pokemon Champion,Battle Strategy,Number of Migrations,Rare Item Holder,Debt to Kanto,Charity Participation,Team Rocket
4000,29,Pallet Town,0.0,Scientist,Fighting,70,0,UltraBall,63,3,0,Aggressive,10,0,61828,1,
4001,64,Cerulean City,1.0,Researcher,Electric,83,0,UltraBall,84,4,0,Unpredictable,6,0,43359,1,
4002,36,Viridian City,1.0,Researcher,Fire,90,0,TimerBall,42,4,0,Aggressive,23,0,51054,1,
4003,22,Viridian City,0.0,Underground Battler,Ice,66,1,DuskBall,43,3,0,Unpredictable,27,1,153681,0,
4004,44,Lavender Town,1.0,PokéMart Seller,Poison,69,0,LuxuryBall,20,2,0,Defensive,14,0,38953,1,
4005,28,Saffron City,1.0,Rocket Grunt,Flying,55,1,HealBall,65,3,0,Defensive,23,1,193578,0,
4006,44,Pallet Town,0.0,Nurse,Grass,90,0,TimerBall,81,3,0,Defensive,12,0,99839,1,
4007,45,Fuchsia City,0.0,Nurse,Dragon,33,0,GreatBall,22,3,0,Aggressive,22,0,52780,1,
4008,67,Cinnabar Island,0.0,Police Officer,Fairy,26,0,GreatBall,80,2,0,Defensive,13,0,70139,1,
4009,65,Lavender Town,1.0,Black Market Dealer,Dark,60,0,DuskBall,55,1,0,Unpredictable,10,0,30531,1,
4010,57,Cinnabar Island,0.0,Underground Battler,Steel,8,0,HealBall,42,5,0,Defensive,10,0,62090,1,
4011,68,Fuchsia City,1.0,Black Market Dealer,Bug,60,0,TimerBall,61,5,0,Aggressive,9,0,78141,1,
4012,21,Pallet Town,1.0,Scientist,Ground,47,0,LuxuryBall,24,3,0,Aggressive,13,0,79565,1,
4013,23,Cerulean City,0.0,Champion,Ice,63,1,DuskBall,70,3,0,Defensive,29,1,392418,0,
4014,56,Lavender Town,0.0,Gym Leader Assistant,Ground,61,0,TimerBall,30,0,0,Unpredictable,17,0,4870,1,
4015,43,Cerulean City,1.0,Biker,Psychic,84,0,DarkBall,53,3,0,Unpredictable,18,0,84491,1,
4016,22,Lavender Town,0.0,Police Officer,Grass,26,0,HealBall,35,1,0,Aggressive,17,0,15431,1,
4017,68,Vermilion City,0.0,Black Market Dealer,Ice,28,0,DarkBall,82,1,0,Unpredictable,6,0,48058,1,
4018,19,Celadon City,0.0,Biker,Ghost,53,0,HealBall,46,0,0,Unpredictable,18,0,48089,1,
4019,39,Pewter City,1.0,Rocket Grunt,Normal,85,0,NetBall,61,4,0,Defensive,25,0,36546,1,
4020,63,Pallet Town,1.0,Breeder,Ghost,94,1,NetBall,37,0,0,Unpredictable,28,0,107730,0,
4021,62,Fuchsia City,0.0,Gym Leader Assistant,Poison,59,1,HealBall,82,1,0,Aggressive,5,0,91340,0,
4022,63,Fuchsia City,2.0,Underground Battler,Fairy,40,0,DarkBall,56,2,0,Defensive,1,0,62650,1,
4023,23,Pewter City,1.0,PokéMart Seller,Ghost,82,0,NetBall,44,0,0,Defensive,7,0,20397,1,
4024,58,Vermilion City,1.0,PokéMart Seller,Flying,48,0,UltraBall,80,4,0,Defensive,13,0,80915,1,
